Number,SLA Breached,Created,Channel,Affected user,Priority,Seviority,Short description,Attached Knowledge,Assignment group,Service,State,Root Cause,Resolution,RFC
INC100001,FALSE,12/09/2026 03:12,CloudWatch Alert,DataOps Team,2,High,AWS Lambda ingestion microservice failing for batch events.,KB100001,Lambda Support,Data Ingestion,Resolved,Lambda runtime exceeded memory causing repeated cold starts.,Increased memory to 1024MB and enabled provisioned concurrency.,RFC-9001
INC100002,TRUE,11/09/2026 22:47,SQS Monitor,Payments API,3,Moderate,SQS queue backlog growing beyond threshold for transaction pipeline.,KB100002,QueueOps,Ecommerce Pipeline,Investigating,Downstream Lambda consumer throttled due to burst traffic.,Raised concurrency limit and added DLQ monitoring.,RFC-9002
INC100003,FALSE,10/09/2026 14:05,ECS HealthCheck,Customer Service App,2,High,ECS microservice container restarting repeatedly.,KB100003,MicroserviceOps,Customer Microservice,Resolved,Faulty container image pushed without healthcheck endpoint.,Rolled back to previous stable image.,RFC-9003
INC100004,FALSE,09/09/2026 09:33,Kinesis Stream Alert,Analytics Team,3,Moderate,Kinesis shard hot-spotting causing delayed event processing.,KB100004,StreamOps,Analytics Pipeline,Investigating,Single partition key overloaded shard.,Enabled enhanced fan-out and redistributed partition keys.,RFC-9004
INC100005,TRUE,08/09/2026 18:22,API Gateway Logs,Mobile App Users,1,Critical,API Gateway 5xx spike impacting login microservice.,KB100005,GatewayOps,Auth Service,Resolved,Expired IAM role credentials for Lambda authorizer.,Rotated IAM keys and added automated expiry alarms.,RFC-9005
INC100006,FALSE,07/09/2026 04:55,Glue Job Monitor,Data Engineering,3,Moderate,AWS Glue ETL job failing during nightly batch load.,KB100006,ETLOps,Data Warehouse,Resolved,Corrupted parquet file in S3 landing zone.,Added file validation and quarantine bucket.,RFC-9006
INC100007,TRUE,06/09/2026 12:41,Step Functions Alert,Order Processing,2,High,Step Functions workflow timing out for order reconciliation.,KB100007,WorkflowOps,Order Pipeline,Investigating,Downstream DynamoDB query latency increased.,Added query pagination and increased timeout window.,RFC-9007
INC100008,FALSE,05/09/2026 16:20,DynamoDB Metrics,Inventory System,3,Moderate,DynamoDB table throttling during peak inventory sync.,KB100008,DBOps,Inventory Service,Resolved,Provisioned capacity too low for burst traffic.,Enabled auto-scaling and adaptive capacity.,RFC-9008
INC100009,FALSE,04/09/2026 08:10,CloudWatch Alarm,Security Team,2,High,Multiple IAM access denied errors for microservice deployment.,KB100009,SecOps,Deployment Pipeline,Resolved,Incorrect IAM policy attached to CodeBuild role.,Updated policy and added pre-deploy validation.,RFC-9009
INC100010,TRUE,03/09/2026 23:59,S3 Event Trigger,Reporting Team,3,Moderate,S3 event trigger not invoking reporting microservice.,KB100010,StorageOps,Reporting Pipeline,Resolved,S3 bucket notification misconfigured after migration.,Recreated event trigger and validated SNS subscription.,RFC-9010

